City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Mar Del Plata,AR,2022-04-13 18:10:53,-38.0023,-57.5575,68.02,71,0,17.0
242,Sabya,SA,2022-04-13 18:12:49,17.1495,42.6254,87.42,43,0,1.61
243,Tura,IN,2022-04-13 18:12:49,25.5198,90.2201,73.81,90,65,7.49
244,Nurota,UZ,2022-04-13 18:12:50,40.5614,65.6886,66.9,47,5,8.61
245,Yarmouth,US,2022-04-13 18:10:55,41.7057,-70.2286,67.64,54,0,11.5
246,Harper,LR,2022-04-13 18:12:50,4.375,-7.7169,81.23,84,93,11.48
247,Esperance,AU,2022-04-13 18:11:32,-33.8667,121.9,62.44,85,80,15.73
248,George Town,MY,2022-04-13 18:11:32,5.4112,100.3354,78.73,89,20,0.0
249,Klaksvik,FO,2022-04-13 18:12:52,62.2266,-6.589,45.52,88,99,14.43
250,Boa Vista,BR,2022-04-13 18:08:11,2.8197,-60.6733,93.18,43,40,11.5
251,Powell River,CA,2022-04-13 18:12:52,49.8496,-124.5361,47.34,81,75,6.91
252,Camacha,PT,2022-04-13 18:12:14,33.0833,-16.3333,62.02,68,40,11.5
253,Baykit,RU,2022-04-13 18:12:53,61.67,96.37,35.28,88,100,11.81
254,Pisco,PE,2022-04-13 18:12:53,-13.7,-76.2167,70.02,73,0,8.05
255,Port Lincoln,AU,2022-04-13 18:11:06,-34.7333,135.8667,68.7,69,100,3.22
256,Havre-Saint-Pierre,CA,2022-04-13 18:12:53,50.2334,-63.5986,39.56,81,75,6.91
257,Praya,CV,2022-04-13 18:12:48,14.9215,-23.5087,71.76,74,11,17.58
258,Udachnyy,RU,2022-04-13 18:12:54,66.4167,112.4,23.45,92,99,7.52
259,Sinnamary,GF,2022-04-13 18:12:54,5.3833,-52.95,80.11,81,35,12.71
260,Vestmannaeyjar,IS,2022-04-13 18:12:55,63.4427,-20.2734,43.79,87,100,35.68
261,Ahipara,NZ,2022-04-13 18:10:35,-35.1667,173.1667,61.41,72,78,12.8
262,Ribeira Grande,PT,2022-04-13 18:12:55,38.5167,-28.7,64.8,72,20,20.71
263,Mehamn,NO,2022-04-13 18:12:56,71.0357,27.8492,26.51,83,94,6.02
264,Grand Gaube,MU,2022-04-13 18:12:56,-20.0064,57.6608,79.38,82,22,10.0
265,Santa Marta,CO,2022-04-13 18:10:31,11.2408,-74.199,86.29,65,48,14.2
266,Nador,MA,2022-04-13 18:12:56,35.174,-2.9287,64.47,67,0,14.97
267,Isiolo,KE,2022-04-13 18:12:57,0.3546,37.5822,71.04,71,61,11.5
268,Marawi,PH,2022-04-13 18:12:57,7.9986,124.2928,67.55,90,98,3.13
269,Hounde,BF,2022-04-13 18:12:57,11.5,-3.5167,100.49,16,99,0.96
270,Vostok,RU,2022-04-13 18:12:58,46.4856,135.8833,20.77,95,26,4.5
271,Loon,PH,2022-04-13 18:13:58,9.7998,123.7929,79.74,77,100,1.77
272,Harnosand,SE,2022-04-13 18:13:58,62.6323,17.9379,41.02,89,100,5.88
273,Gat,IL,2022-04-13 18:13:59,31.61,34.7642,61.48,100,70,9.31
274,Komsomolskiy,UZ,2022-04-13 18:13:59,40.4272,71.7189,68.72,52,16,6.91
275,Amapa,BR,2022-04-13 18:14:00,1.0,-52.0,79.43,95,100,4.85
276,Miri,MY,2022-04-13 18:14:00,4.4148,114.0089,75.34,100,40,2.3
277,Usinsk,RU,2022-04-13 18:14:00,65.9939,57.5281,33.4,99,100,10.6
278,Comodoro Rivadavia,AR,2022-04-13 18:14:01,-45.8667,-67.5,69.66,37,0,14.97
279,Chokwe,MZ,2022-04-13 18:14:01,-24.5333,32.9833,83.57,52,81,10.02
280,Vardo,NO,2022-04-13 18:14:01,70.3705,31.1107,24.78,74,0,4.61
281,Doha,QA,2022-04-13 18:14:02,25.2867,51.5333,89.91,54,0,11.5
282,Tashtyp,RU,2022-04-13 18:14:02,52.7939,89.8983,25.68,77,2,4.29
283,Mapiripan,CO,2022-04-13 18:14:02,2.8892,-72.1256,91.02,50,88,9.04
284,Nioro,GM,2022-04-13 18:14:03,13.35,-15.75,96.57,20,61,14.2
285,Te Anau,NZ,2022-04-13 18:14:03,-45.4167,167.7167,41.11,90,49,1.1
286,Kloulklubed,PW,2022-04-13 18:14:04,7.0419,134.2556,77.5,78,100,17.25
287,Trairi,BR,2022-04-13 18:14:04,-3.2778,-39.2689,83.43,71,72,7.99
288,Nanakuli,US,2022-04-13 18:12:47,21.3906,-158.1547,78.75,64,0,4.61
289,Thompson,CA,2022-04-13 18:14:05,55.7435,-97.8558,26.76,54,40,18.41
290,Misratah,LY,2022-04-13 18:14:05,32.3754,15.0925,64.81,64,100,24.49
