City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Sabha,LY,27.0377,14.4283,81.21,9,0,8.97,clear sky
300,King City,US,36.2127,-121.126,65.44,39,7,8.99,clear sky
301,Andra,RU,62.5147,65.8878,23.81,97,73,5.84,light snow
302,Port-Gentil,GA,-0.7193,8.7815,80.56,89,40,6.91,scattered clouds
303,Canutama,BR,-6.5339,-64.3831,84.31,80,77,1.92,moderate rain
304,Polson,US,47.6936,-114.1632,53.22,61,87,3.38,overcast clouds
305,Banjar,ID,-8.19,114.9675,78.28,90,76,2.57,broken clouds
306,Synya,RU,65.3718,58.0387,16.52,94,71,3.85,broken clouds
307,Hovd,MN,48.0056,91.6419,46.13,41,23,4.21,few clouds
308,Axim,GH,4.8699,-2.2405,82.49,80,93,8.88,overcast clouds
309,Berlevag,NO,70.8578,29.0864,37.2,92,100,18.84,overcast clouds
310,Mulanje,MW,-16.0316,35.5,68.9,99,90,4.56,overcast clouds
311,Escarcega,MX,18.6089,-90.7454,95.4,29,1,4.92,clear sky
312,Puertollano,ES,38.6871,-4.1073,55.08,71,64,14.61,broken clouds
313,Novoagansk,RU,61.9449,76.6625,8.35,97,55,6.42,broken clouds
314,Hasaki,JP,35.7333,140.8333,63.0,74,100,14.72,overcast clouds
315,Souillac,MU,-20.5167,57.5167,75.58,78,75,17.27,light rain
316,Hasanabad,IR,36.5465,61.0543,72.0,47,100,7.56,overcast clouds
317,Tromso,NO,69.6496,18.957,41.02,70,20,10.36,few clouds
318,Kurumkan,RU,54.3,110.3,28.24,67,95,2.39,overcast clouds
319,Coahuayana,MX,18.7333,-103.6833,90.34,33,3,7.38,clear sky
320,Uray,RU,60.1247,64.7758,27.48,85,100,7.65,overcast clouds
321,Maningrida,AU,-12.0667,134.2667,75.47,89,100,3.87,overcast clouds
322,Puerto Leguizamo,CO,-0.1934,-74.7819,90.82,48,40,5.46,scattered clouds
323,Krasnovishersk,RU,60.4078,57.082,29.82,95,91,2.95,overcast clouds
324,Eureka,US,40.8021,-124.1637,54.12,83,27,1.99,scattered clouds
325,Lebu,CL,-37.6167,-73.65,58.06,73,35,7.38,scattered clouds
326,Burgeo,CA,47.6167,-57.6152,39.65,92,100,11.21,overcast clouds
327,Doha,QA,25.2867,51.5333,82.38,42,0,8.05,clear sky
328,Helong,CN,42.5397,128.9972,57.54,27,1,16.78,clear sky
329,San Vicente,AR,-26.6167,-54.1333,72.25,53,72,4.36,broken clouds
330,Teahupoo,PF,-17.8333,-149.2667,75.16,76,100,8.37,light rain
331,Wanxian,CN,30.8039,108.3897,74.3,72,39,4.81,scattered clouds
332,Upington,ZA,-28.4478,21.2561,70.07,47,45,7.4,light rain
333,Kalemie,CD,-5.9475,29.1947,73.22,84,74,3.02,broken clouds
334,Pirgos,GR,35.1167,25.7178,64.62,76,16,2.46,few clouds
335,San Luis,AR,-33.295,-66.3356,76.05,35,72,19.98,broken clouds
336,Visnes,NO,59.3556,5.2242,53.82,58,0,17.27,clear sky
337,Iqaluit,CA,63.7506,-68.5145,9.7,72,11,3.0,few clouds
338,Darlington,GB,54.5243,-1.5504,50.65,75,20,19.57,few clouds
339,Yaan,NG,7.3833,8.5667,91.42,44,32,9.89,scattered clouds
340,San Pedro,PH,14.35,121.0167,81.36,70,11,6.33,few clouds
341,San Andres,CO,12.5847,-81.7006,80.56,76,86,8.84,overcast clouds
342,Paamiut,GL,61.994,-49.6678,32.07,95,100,10.49,light snow
343,Karatau,KZ,43.1667,70.4667,60.51,77,93,2.3,overcast clouds
